,Total Pages,Total Pages,Total Pages,Total Pages,Total Pages,Total Pages,Total Pages,Total Pages,Total Pages Mono,Total Pages Mono,Total Pages Mono,Total Pages Mono,Total Pages Mono,Total Pages Mono,Total Pages Mono,Total Pages Mono,Total Pages Color,Total Pages Color,Total Pages Color,Total Pages Color,Total Pages Color,Total Pages Color,Total Pages Color,Total Pages Color,CPP BW,CPP BW,CPP BW,CPP BW,CPP BW,CPP BW,CPP BW,CPP BW,CPP Color,CPP Color,CPP Color,CPP Color,CPP Color,CPP Color,CPP Color,CPP Color,Total Cost Mono,Total Cost Mono,Total Cost Mono,Total Cost Mono,Total Cost Mono,Total Cost Mono,Total Cost Mono,Total Cost Mono,TCM/Day,TCM/Day,TCM/Day,TCM/Day,TCM/Day,TCM/Day,TCM/Day,TCM/Day,Total Cost Color,Total Cost Color,Total Cost Color,Total Cost Color,Total Cost Color,Total Cost Color,Total Cost Color,Total Cost Color,TCC/Day,TCC/Day,TCC/Day,TCC/Day,TCC/Day,TCC/Day,TCC/Day,TCC/Day,Total Cost,Total Cost,Total Cost,Total Cost,Total Cost,Total Cost,Total Cost,Total Cost,Total Cost / Day,Total Cost / Day,Total Cost / Day,Total Cost / Day,Total Cost / Day,Total Cost / Day,Total Cost / Day,Total Cost / Day
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Mortgage,4,19975.25,24737.54161,248,6221.75,11888.5,25642,55876,4,18191.5,25428.37615,78,6179.25,8406,20418.25,55876,4,1783.75,3455.096176,0,0,85,1868.75,6965,4,0.0121,0.005663332,0.0069,0.00735,0.01225,0.017,0.017,4,0.01955,0.030489506,0,0,0.007,0.02655,0.0642,4,148.662725,168.7281254,1.326,46.529625,103.89025,206.02335,385.5444,4,4.571024716,5.952409546,0.044285633,0.371992269,2.681717461,6.880749908,12.87637831,4,32.825,58.60028979,0,0,5.457,38.282,120.386,4,1.096297372,1.957149052,0,0,0.182252411,1.278549783,4.020684665,4,151.391225,165.6108002,12.24,49.258125,103.89025,206.02335,385.5444,4,4.662150922,5.862114226,0.408790455,0.463118474,2.681717461,6.880749908,12.87637831
Mt Pleasant,4,110815.25,154209.8588,240,10094.25,54953,155674,333115,4,95969.5,125943.3008,240,10094.25,54953,140828.25,273732,4,14845.75,29691.5,0,0,0,14845.75,59383,4,0.0147,0.004221374,0.009,0.013725,0.0153,0.016275,0.0192,4,0.014375,0.02875,0,0,0,0.014375,0.0575,4,1037.43945,1152.850206,4.608,154.676025,840.7809,1723.544325,2463.588,4,2.836012685,3.145125274,0.023430438,0.425321336,2.296293062,4.70698441,6.728034178,4,853.630625,1707.26125,0,0,0,853.630625,3414.5225,4,2.331256696,4.662513392,0,0,0,2.331256696,9.325026783,4,1891.070075,2736.825798,4.608,154.676025,840.7809,2577.17495,5878.1105,4,5.16726938,7.47170087,0.023430438,0.425321336,2.296293062,7.038241106,16.05306096
Nephi,5,66573.2,92624.27478,13171,20298,22822,45757,230818,5,66573.2,92624.27478,13171,20298,22822,45757,230818,5,0,0,0,0,0,0,0,5,0.01346,0.004669368,0.0075,0.01,0.0153,0.0153,0.0192,5,0,0,0,0,0,0,0,5,760.03916,892.37049,152.235,201.5163,438.1824,700.0821,2308.18,5,5.204058855,9.280110171,0.550088774,0.585893604,1.197217325,1.91191854,21.77517603,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,760.03916,892.37049,152.235,201.5163,438.1824,700.0821,2308.18,5,5.204058855,9.280110171,0.550088774,0.585893604,1.197217325,1.91191854,21.77517603
North Logan,5,113208.8,143579.2825,7162,12723,36761,167425,341973,5,107897.2,147610.9645,2530,12723,14835,167425,341973,5,5311.6,9501.834391,0,0,0,4632,21926,5,0.01602,0.00665109,0.0069,0.0153,0.0153,0.017,0.0256,5,0.04008,0.060498033,0,0,0,0.0642,0.1362,5,1107.73282,1242.798968,43.01,194.6619,379.776,2359.6137,2561.6025,5,3.069098771,3.364331881,0.117513431,0.531862072,1.253383362,6.447019327,6.995715662,5,656.73912,1308.626616,0,0,0,297.3744,2986.3212,5,2.133664095,4.331131481,0,0,0,0.812496768,9.855823709,5,1764.47194,1418.374351,194.6619,340.3844,2359.6137,2561.6025,3366.0972,5,5.202762866,4.464377521,0.531862072,0.930010199,6.447019327,6.995715662,11.10920707
Price,9,47609.66667,72933.44342,319,11358,16026,25822,209878,9,47577.66667,72956.84556,31,11358,16026,25822,209878,9,32,96,0,0,0,0,288,9,0.0149,0.003885872,0.0075,0.0153,0.0153,0.017,0.0192,9,0.007133333,0.0214,0,0,0,0,0.0642,9,602.1328333,835.3104622,0.527,85.185,245.1978,395.0766,2098.78,9,12.16266902,24.21954913,0.002704864,0.27390611,0.669938031,1.078950992,67.49822347,9,2.0544,6.1632,0,0,0,0,18.4896,9,0.010544349,0.031633046,0,0,0,0,0.094899138,9,604.1872333,833.6670142,17.952,85.185,245.1978,395.0766,2098.78,9,12.17321337,24.21361328,0.049049084,0.27390611,0.669938031,1.078950992,67.49822347
River Road,4,127366.25,117819.4055,6872,54943.25,111182,183605,280229,4,127366.25,117819.4055,6872,54943.25,111182,183605,280229,4,0,0,0,0,0,0,0,4,0.01335,0.0039,0.0075,0.01335,0.0153,0.0153,0.0153,4,0,0,0,0,0,0,0,4,1402.257075,1017.760869,105.1416,840.631725,1593.7563,2155.38165,2316.3741,4,3.83057605,2.779900044,0.287271568,2.296803488,4.354516872,5.888289434,6.325998889,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,1402.257075,1017.760869,105.1416,840.631725,1593.7563,2155.38165,2316.3741,4,3.83057605,2.779900044,0.287271568,2.296803488,4.354516872,5.888289434,6.325998889
Smithfield,3,10699.66667,16307.74127,305,1302,2299,15897,29495,3,10406,16540.92298,305,861.5,1418,15456.5,29495,3,293.6666667,508.6455872,0,0,0,440.5,881,3,0.015966667,0.005600298,0.0095,0.01435,0.0192,0.0192,0.0192,3,0.004666667,0.008082904,0,0,0,0.007,0.014,3,195.2103333,321.3990964,5.856,9.6635,13.471,289.8875,566.304,3,6.519617718,10.73405904,0.195578178,0.322740732,0.449903285,9.681637488,18.91337169,3,4.111333333,7.12103822,0,0,0,6.167,12.334,3,0.137311439,0.237830389,0,0,0,0.205967159,0.411934317,3,195.2103333,321.3990964,5.856,9.6635,13.471,289.8875,566.304,3,6.519617718,10.73405904,0.195578178,0.322740732,0.449903285,9.681637488,18.91337169
South Logan,3,20939.33333,32930.61442,342,1949.5,3557,31238,58919,3,20939.33333,32930.61442,342,1949.5,3557,31238,58919,3,0,0,0,0,0,0,0,3,0.013566667,0.005862025,0.0075,0.01075,0.014,0.0166,0.0192,3,0,0,0,0,0,0,0,3,286.0366333,466.74825,6.5664,16.62195,26.6775,425.77175,824.866,3,93.84968443,161.532882,0.219304056,0.588875602,0.958447148,140.6648746,280.3713021,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,286.0366333,466.74825,6.5664,16.62195,26.6775,425.77175,824.866,3,93.84968443,161.532882,0.219304056,0.588875602,0.958447148,140.6648746,280.3713021
Sunset,2,39327,46227.81293,6639,22983,39327,55671,72015,2,39327,46227.81293,6639,22983,39327,55671,72015,2,0,0,0,0,0,0,0,2,0.01725,0.002757716,0.0153,0.016275,0.01725,0.018225,0.0192,2,0,0,0,0,0,0,0,2,614.64915,688.9770583,127.4688,371.058975,614.64915,858.239325,1101.8295,2,1.679367255,1.882449106,0.348274727,1.013820991,1.679367255,2.344913519,3.010459783,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,614.64915,688.9770583,127.4688,371.058975,614.64915,858.239325,1101.8295,2,1.679367255,1.882449106,0.348274727,1.013820991,1.679367255,2.344913519,3.010459783
Tabernacle,16,268665.1875,436125.1447,3770,34586.75,80516,189108.25,1537461,16,247094.875,426308.2214,3770,23586.75,80516,189108.25,1537461,16,21570.3125,77892.6967,0,0,0,0,312022,16,0.01356875,0.004926218,0.0069,0.009375,0.01465,0.0153,0.0258,16,0.010575,0.030543794,0,0,0,0,0.1117,16,2108.287406,2857.856087,72.384,417.06585,1231.8948,2328.990525,10608.4809,16,7.317854065,12.23613736,0.197770104,1.139521946,3.365826188,7.202566421,49.15108099,16,1352.429381,4518.821598,0,0,0,0,17941.265,16,3.692368611,12.33557219,0,0,0,0,48.97517141,16,3460.716788,5459.068959,72.384,529.177275,1450.33935,2926.341025,20904.389,16,11.01022268,17.28074063,0.197770104,1.444768658,3.962668051,11.02621029,57.06375968
Washington,3,88986.66667,121544.9935,10261,18994,27727,128349.5,228972,3,88986.66667,121544.9935,10261,18994,27727,128349.5,228972,3,0,0,0,0,0,0,0,3,0.013366667,0.005178159,0.0075,0.0114,0.0153,0.0163,0.0173,3,0,0,0,0,0,0,0,3,773.0094667,827.0220546,177.5153,300.8692,424.2231,1070.75655,1717.29,3,2.112043582,2.25961867,0.48501353,0.822045383,1.159077236,2.925558609,4.692039981,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,773.0094667,827.0220546,177.5153,300.8692,424.2231,1070.75655,1717.29,3,2.112043582,2.25961867,0.48501353,0.822045383,1.159077236,2.925558609,4.692039981
