,ID?,ID?,ID?,ID?,ID?,ID?,ID?,ID?,Total Pages,Total Pages,Total Pages,Total Pages,Total Pages,Total Pages,Total Pages,Total Pages,Total Pages Mono,Total Pages Mono,Total Pages Mono,Total Pages Mono,Total Pages Mono,Total Pages Mono,Total Pages Mono,Total Pages Mono,Total Pages Color,Total Pages Color,Total Pages Color,Total Pages Color,Total Pages Color,Total Pages Color,Total Pages Color,Total Pages Color,CPP BW,CPP BW,CPP BW,CPP BW,CPP BW,CPP BW,CPP BW,CPP BW,CPP Color,CPP Color,CPP Color,CPP Color,CPP Color,CPP Color,CPP Color,CPP Color,Total Cost Mono,Total Cost Mono,Total Cost Mono,Total Cost Mono,Total Cost Mono,Total Cost Mono,Total Cost Mono,Total Cost Mono,TCM/Day,TCM/Day,TCM/Day,TCM/Day,TCM/Day,TCM/Day,TCM/Day,TCM/Day,Total Cost Color,Total Cost Color,Total Cost Color,Total Cost Color,Total Cost Color,Total Cost Color,Total Cost Color,Total Cost Color,TCC/Day,TCC/Day,TCC/Day,TCC/Day,TCC/Day,TCC/Day,TCC/Day,TCC/Day,Total Cost,Total Cost,Total Cost,Total Cost,Total Cost,Total Cost,Total Cost,Total Cost,Total Cost / Day,Total Cost / Day,Total Cost / Day,Total Cost / Day,Total Cost / Day,Total Cost / Day,Total Cost / Day,Total Cost / Day,Location IP,Location IP,Location IP,Location IP,Location IP,Location IP,Location IP,Location IP
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LaserJet MFP M527,5.0,97.0,1.5811388300841898,95.0,96.0,97.0,98.0,99.0,5.0,50994.2,50646.00828495766,13455.0,15679.0,31339.0,58919.0,135579.0,5.0,50994.2,50646.00828495766,13455.0,15679.0,31339.0,58919.0,135579.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.013999999999999999,0.0,0.013999999999999999,0.013999999999999999,0.013999999999999999,0.013999999999999999,0.013999999999999999,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,713.9188,709.0441159894073,188.37,219.50599999999997,438.746,824.8660000000001,1898.106,5.0,60.264896131800015,123.17773150279311,0.514436943,0.599469107,5.186071799,14.65320071,280.37130210000004,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,713.9188,709.0441159894073,188.37,219.50599999999997,438.746,824.8660000000001,1898.106,5.0,60.264896131800015,123.17773150279311,0.514436943,0.599469107,5.186071799,14.65320071,280.37130210000004,5.0,41.0,20.506096654409877,18.0,20.0,49.0,59.0,59.0
LaserJet P2055x,1.0,100.0,,100.0,100.0,100.0,100.0,100.0,1.0,10261.0,,10261.0,10261.0,10261.0,10261.0,10261.0,1.0,10261.0,,10261.0,10261.0,10261.0,10261.0,10261.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0173,,0.0173,0.0173,0.0173,0.0173,0.0173,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,177.5153,,177.5153,177.5153,177.5153,177.5153,177.5153,1.0,0.48501353,,0.48501353,0.48501353,0.48501353,0.48501353,0.48501353,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,177.5153,,177.5153,177.5153,177.5153,177.5153,177.5153,1.0,0.48501353,,0.48501353,0.48501353,0.48501353,0.48501353,0.48501353,1.0,41.0,,41.0,41.0,41.0,41.0,41.0
LaserJet Pro M428f-M429f,1.0,101.0,,101.0,101.0,101.0,101.0,101.0,1.0,17.0,,17.0,17.0,17.0,17.0,17.0,1.0,17.0,,17.0,17.0,17.0,17.0,17.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0173,,0.0173,0.0173,0.0173,0.0173,0.0173,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.2941,,0.2941,0.2941,0.2941,0.2941,0.2941,1.0,0.007383103,,0.007383103,0.007383103,0.007383103,0.007383103,0.007383103,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.2941,,0.2941,0.2941,0.2941,0.2941,0.2941,1.0,0.007383103,,0.007383103,0.007383103,0.007383103,0.007383103,0.007383103,1.0,49.0,,49.0,49.0,49.0,49.0,49.0
MX-4111N,3.0,104.0,1.0,103.0,103.5,104.0,104.5,105.0,3.0,465462.3333333333,158599.6386008913,333115.0,377564.5,422014.0,531636.0,641258.0,3.0,280756.6666666667,45376.65198462017,239302.0,256517.0,273732.0,301484.0,329236.0,3.0,184705.66666666666,126331.29901308438,59383.0,121047.5,182712.0,247367.0,312022.0,3.0,0.009000000000000001,0.0,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.009000000000000001,3.0,0.0575,0.0,0.0575,0.0575,0.0575,0.0575,0.0575,3.0,2526.81,408.3898678615817,2153.718,2308.653,2463.5879999999997,2713.3559999999998,2963.1240000000003,3.0,6.898576824666667,1.1145691332487861,5.879108017,6.3035710975,6.728034178,7.4083112285,8.088588279,3.0,10620.575833333334,7264.049693252351,3414.5225,6960.231250000001,10505.94,14223.6025,17941.265,3.0,28.992923297666664,19.82694139121617,9.325026783,19.0017992415,28.6785717,38.826871555,48.97517141,3.0,13147.385833333334,7525.003004613791,5878.1105,9268.884250000001,12659.658000000001,16782.0235,20904.389,3.0,35.89150011666667,20.537859188181777,16.05306096,25.305370335,34.55767971,45.810719695,57.06375968,3.0,53.333333333333336,5.131601439446884,49.0,50.5,52.0,55.5,59.0
MX-M260,4.0,107.5,1.2909944487358056,106.0,106.75,107.5,108.25,109.0,4.0,189286.5,117408.02035210372,21705.0,162834.75,220348.0,246799.75,294745.0,4.0,189286.5,117408.02035210372,21705.0,162834.75,220348.0,246799.75,294745.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.01,0.0,0.01,0.01,0.01,0.01,0.01,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1892.865,1174.080203521037,217.05,1628.3475,2203.48,2467.9974999999995,2947.45,4.0,17.51555539625,16.131616345480595,1.958344638,6.529430874750001,14.914151158500001,25.90027568,38.27557463,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1892.865,1174.080203521037,217.05,1628.3475,2203.48,2467.9974999999995,2947.45,4.0,17.51555539625,16.131616345480595,1.958344638,6.529430874750001,14.914151158500001,25.90027568,38.27557463,4.0,54.75,2.6299556396765835,51.0,54.0,55.5,56.25,57.0
MX-M264N,2.0,110.5,0.7071067811865476,110.0,110.25,110.5,110.75,111.0,2.0,116584.5,2854.5900756500923,114566.0,115575.25,116584.5,117593.75,118603.0,2.0,116584.5,2854.5900756500923,114566.0,115575.25,116584.5,117593.75,118603.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.01,0.0,0.01,0.01,0.01,0.01,0.01,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1165.845,28.545900756500846,1145.66,1155.7525,1165.845,1175.9375,1186.03,2.0,6.7333125895000006,4.943732790447896,3.237565609,4.98543909925,6.7333125895000006,8.48118607975,10.22905957,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1165.845,28.545900756500846,1145.66,1155.7525,1165.845,1175.9375,1186.03,2.0,6.7333125895000006,4.943732790447896,3.237565609,4.98543909925,6.7333125895000006,8.48118607975,10.22905957,2.0,55.0,2.8284271247461903,53.0,54.0,55.0,56.0,57.0
MX-M3070,7.0,115.0,2.160246899469287,112.0,113.5,115.0,116.5,118.0,7.0,12052.285714285714,8987.11514176983,2445.0,5885.0,11081.0,15828.0,27414.0,7.0,12052.285714285714,8987.11514176983,2445.0,5885.0,11081.0,15828.0,27414.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0075,0.0,0.0075,0.0075,0.0075,0.0075,0.0075,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,90.39214285714284,67.40336356327373,18.3375,44.137499999999996,83.1075,118.71000000000001,205.605,7.0,0.49858419642857144,0.3073835526117978,0.071911572,0.30065757800000004,0.481227814,0.6885938425,0.958447148,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,90.39214285714284,67.40336356327373,18.3375,44.137499999999996,83.1075,118.71000000000001,205.605,7.0,0.49858419642857144,0.3073835526117978,0.071911572,0.30065757800000004,0.481227814,0.6885938425,0.958447148,7.0,42.57142857142857,17.633841922632204,16.0,33.5,51.0,54.0,56.0
MX-M3570,1.0,119.0,,119.0,119.0,119.0,119.0,119.0,1.0,36625.0,,36625.0,36625.0,36625.0,36625.0,36625.0,1.0,36625.0,,36625.0,36625.0,36625.0,36625.0,36625.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0075,,0.0075,0.0075,0.0075,0.0075,0.0075,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,274.6875,,274.6875,274.6875,274.6875,274.6875,274.6875,1.0,0.750510824,,0.750510824,0.750510824,0.750510824,0.750510824,0.750510824,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,274.6875,,274.6875,274.6875,274.6875,274.6875,274.6875,1.0,0.750510824,,0.750510824,0.750510824,0.750510824,0.750510824,0.750510824,1.0,57.0,,57.0,57.0,57.0,57.0,57.0
MX-M363N,4.0,121.5,1.2909944487358056,120.0,120.75,121.5,122.25,123.0,4.0,386432.0,292526.53717682895,213400.0,225079.0,254600.5,415953.5,823127.0,4.0,386432.0,292526.53717682895,213400.0,225079.0,254600.5,415953.5,823127.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0075,0.0,0.0075,0.0075,0.0075,0.0075,0.0075,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2898.2400000000002,2193.949028826217,1600.5,1688.0925,1909.50375,3119.65125,6173.4525,4.0,7.918672999750001,5.994384502467926,4.372942246,4.612265547250001,5.217213131500001,8.523620584,16.86732349,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2898.2400000000002,2193.949028826217,1600.5,1688.0925,1909.50375,3119.65125,6173.4525,4.0,7.918672999750001,5.994384502467926,4.372942246,4.612265547250001,5.217213131500001,8.523620584,16.86732349,4.0,48.0,8.082903768654761,41.0,42.5,46.0,51.5,59.0
MX-M365N,1.0,124.0,,124.0,124.0,124.0,124.0,124.0,1.0,24649.0,,24649.0,24649.0,24649.0,24649.0,24649.0,1.0,24649.0,,24649.0,24649.0,24649.0,24649.0,24649.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0075,,0.0075,0.0075,0.0075,0.0075,0.0075,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,184.8675,,184.8675,184.8675,184.8675,184.8675,184.8675,1.0,6.17418867,,6.17418867,6.17418867,6.17418867,6.17418867,6.17418867,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,184.8675,,184.8675,184.8675,184.8675,184.8675,184.8675,1.0,6.17418867,,6.17418867,6.17418867,6.17418867,6.17418867,6.17418867,1.0,54.0,,54.0,54.0,54.0,54.0,54.0
MX-M453N,1.0,125.0,,125.0,125.0,125.0,125.0,125.0,1.0,202856.0,,202856.0,202856.0,202856.0,202856.0,202856.0,1.0,202856.0,,202856.0,202856.0,202856.0,202856.0,202856.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0075,,0.0075,0.0075,0.0075,0.0075,0.0075,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1521.42,,1521.42,1521.42,1521.42,1521.42,1521.42,1.0,4.1568770960000005,,4.1568770960000005,4.1568770960000005,4.1568770960000005,4.1568770960000005,4.1568770960000005,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1521.42,,1521.42,1521.42,1521.42,1521.42,1521.42,1.0,4.1568770960000005,,4.1568770960000005,4.1568770960000005,4.1568770960000005,4.1568770960000005,4.1568770960000005,1.0,49.0,,49.0,49.0,49.0,49.0,49.0
MX-M550N,1.0,126.0,,126.0,126.0,126.0,126.0,126.0,1.0,1037481.0,,1037481.0,1037481.0,1037481.0,1037481.0,1037481.0,1.0,1037481.0,,1037481.0,1037481.0,1037481.0,1037481.0,1037481.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0069,,0.0069,0.0069,0.0069,0.0069,0.0069,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,7158.6189,,7158.6189,7158.6189,7158.6189,7158.6189,7158.6189,1.0,19.55902968,,19.55902968,19.55902968,19.55902968,19.55902968,19.55902968,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,7158.6189,,7158.6189,7158.6189,7158.6189,7158.6189,7158.6189,1.0,19.55902968,,19.55902968,19.55902968,19.55902968,19.55902968,19.55902968,1.0,59.0,,59.0,59.0,59.0,59.0,59.0
MX-M620N,2.0,127.5,0.7071067811865476,127.0,127.25,127.5,127.75,128.0,2.0,939717.0,845337.6716271433,341973.0,640845.0,939717.0,1238589.0,1537461.0,2.0,939717.0,845337.6716271433,341973.0,640845.0,939717.0,1238589.0,1537461.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0069,0.0,0.0069,0.0069,0.0069,0.0069,0.0069,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6484.0473,5832.829934227289,2359.6137,4421.8305,6484.0473,8546.2641,10608.4809,2.0,27.7990501585,30.19633158611577,6.4470193270000005,17.12303474275,27.7990501585,38.475065574249996,49.15108099,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6484.0473,5832.829934227289,2359.6137,4421.8305,6484.0473,8546.2641,10608.4809,2.0,27.7990501585,30.19633158611577,6.4470193270000005,17.12303474275,27.7990501585,38.475065574249996,49.15108099,2.0,53.0,8.48528137423857,47.0,50.0,53.0,56.0,59.0
MX-M654N,1.0,129.0,,129.0,129.0,129.0,129.0,129.0,1.0,55876.0,,55876.0,55876.0,55876.0,55876.0,55876.0,1.0,55876.0,,55876.0,55876.0,55876.0,55876.0,55876.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0069,,0.0069,0.0069,0.0069,0.0069,0.0069,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,385.5444,,385.5444,385.5444,385.5444,385.5444,385.5444,1.0,12.87637831,,12.87637831,12.87637831,12.87637831,12.87637831,12.87637831,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,385.5444,,385.5444,385.5444,385.5444,385.5444,385.5444,1.0,12.87637831,,12.87637831,12.87637831,12.87637831,12.87637831,12.87637831,1.0,16.0,,16.0,16.0,16.0,16.0,16.0
MX-M753N,4.0,131.5,1.2909944487358056,130.0,130.75,131.5,132.25,133.0,4.0,609891.5,277432.77988790965,231924.0,493074.75,674475.5,791292.25,858691.0,4.0,609891.5,277432.77988790965,231924.0,493074.75,674475.5,791292.25,858691.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0058,0.0,0.0058,0.0058,0.0058,0.0058,0.0058,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3537.3707000000004,1609.110123349876,1345.1592,2859.83355,3911.9579000000003,4589.49505,4980.4078,4.0,9.66338042375,4.394616975243288,3.675291155,7.813737548750001,10.688388605,12.538031479999999,13.60145333,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3537.3707000000004,1609.110123349876,1345.1592,2859.83355,3911.9579000000003,4589.49505,4980.4078,4.0,9.66338042375,4.394616975243288,3.675291155,7.813737548750001,10.688388605,12.538031479999999,13.60145333,4.0,46.5,2.886751345948129,44.0,44.0,46.5,49.0,49.0
Technologies ST9715,1.0,134.0,,134.0,134.0,134.0,134.0,134.0,1.0,16117.0,,16117.0,16117.0,16117.0,16117.0,16117.0,1.0,16117.0,,16117.0,16117.0,16117.0,16117.0,16117.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0058,,0.0058,0.0058,0.0058,0.0058,0.0058,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,93.4786,,93.4786,93.4786,93.4786,93.4786,93.4786,1.0,0.255173225,,0.255173225,0.255173225,0.255173225,0.255173225,0.255173225,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,93.4786,,93.4786,93.4786,93.4786,93.4786,93.4786,1.0,0.255173225,,0.255173225,0.255173225,0.255173225,0.255173225,0.255173225,1.0,49.0,,49.0,49.0,49.0,49.0,49.0
