,ID?,ID?,ID?,ID?,ID?,ID?,ID?,ID?,Total Pages,Total Pages,Total Pages,Total Pages,Total Pages,Total Pages,Total Pages,Total Pages,Total Pages Mono,Total Pages Mono,Total Pages Mono,Total Pages Mono,Total Pages Mono,Total Pages Mono,Total Pages Mono,Total Pages Mono,Total Pages Color,Total Pages Color,Total Pages Color,Total Pages Color,Total Pages Color,Total Pages Color,Total Pages Color,Total Pages Color,CPP BW,CPP BW,CPP BW,CPP BW,CPP BW,CPP BW,CPP BW,CPP BW,CPP Color,CPP Color,CPP Color,CPP Color,CPP Color,CPP Color,CPP Color,CPP Color,Total Cost Mono,Total Cost Mono,Total Cost Mono,Total Cost Mono,Total Cost Mono,Total Cost Mono,Total Cost Mono,Total Cost Mono,TCM/Day,TCM/Day,TCM/Day,TCM/Day,TCM/Day,TCM/Day,TCM/Day,TCM/Day,Total Cost Color,Total Cost Color,Total Cost Color,Total Cost Color,Total Cost Color,Total Cost Color,Total Cost Color,Total Cost Color,TCC/Day,TCC/Day,TCC/Day,TCC/Day,TCC/Day,TCC/Day,TCC/Day,TCC/Day,Total Cost,Total Cost,Total Cost,Total Cost,Total Cost,Total Cost,Total Cost,Total Cost,Total Cost / Day,Total Cost / Day,Total Cost / Day,Total Cost / Day,Total Cost / Day,Total Cost / Day,Total Cost / Day,Total Cost / Day,Location IP,Location IP,Location IP,Location IP,Location IP,Location IP,Location IP,Location IP
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LaserJet 400 color M451dw,5.0,13.0,1.5811388300841898,11.0,12.0,13.0,14.0,15.0,5.0,26615.4,18350.666889789045,3309.0,13254.0,30640.0,36761.0,49113.0,5.0,10115.8,8038.700995807719,589.0,6870.0,6984.0,14835.0,21301.0,5.0,16499.6,11233.844168404687,2720.0,6270.0,21926.0,23770.0,27812.0,5.0,0.0256,0.0,0.0256,0.0256,0.0256,0.0256,0.0256,5.0,0.1362,0.0,0.1362,0.1362,0.1362,0.1362,0.1362,5.0,258.96448000000004,205.7907454926776,15.0784,175.872,178.7904,379.776,545.3056,5.0,0.7507010472000001,0.6008849100750076,0.041197733,0.48052364799999997,0.488497403,1.2533833620000001,1.48990309,5.0,2247.24552,1530.0495757367185,370.464,853.9739999999999,2986.3212,3237.474,3787.9944,5.0,6.479301476000001,4.445751867975321,1.012194737,2.33325772,8.845540033999999,9.855823709,10.34969118,5.0,2506.21,1700.6493313708856,385.5424,1032.7644,3366.0972,3413.3459999999995,4333.3,5.0,7.2300025230000005,4.95664183848732,1.05339247,2.821755123,9.326063682000001,11.10920707,11.83959427,5.0,50.2,3.8987177379235853,47.0,49.0,49.0,49.0,57.0
LaserJet 4250,1.0,58.0,,58.0,58.0,58.0,58.0,58.0,1.0,177656.0,,177656.0,177656.0,177656.0,177656.0,177656.0,1.0,177656.0,,177656.0,177656.0,177656.0,177656.0,177656.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0095,,0.0095,0.0095,0.0095,0.0095,0.0095,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1687.7320000000002,,1687.7320000000002,1687.7320000000002,1687.7320000000002,1687.7320000000002,1687.7320000000002,1.0,4.60918241,,4.60918241,4.60918241,4.60918241,4.60918241,4.60918241,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1687.7320000000002,,1687.7320000000002,1687.7320000000002,1687.7320000000002,1687.7320000000002,1687.7320000000002,1.0,4.60918241,,4.60918241,4.60918241,4.60918241,4.60918241,4.60918241,1.0,59.0,,59.0,59.0,59.0,59.0,59.0
LaserJet 4350,2.0,59.5,0.7071067811865476,59.0,59.25,59.5,59.75,60.0,2.0,547088.0,2650.23621588718,545214.0,546151.0,547088.0,548025.0,548962.0,2.0,547088.0,2650.23621588718,545214.0,546151.0,547088.0,548025.0,548962.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0095,0.0,0.0095,0.0095,0.0095,0.0095,0.0095,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5197.335999999999,25.177244050928692,5179.532999999999,5188.434499999999,5197.335999999999,5206.2375,5215.139,2.0,14.19388248,0.06875885127054635,14.14526263,14.169572555,14.19388248,14.218192405,14.24250233,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5197.335999999999,25.177244050928692,5179.532999999999,5188.434499999999,5197.335999999999,5206.2375,5215.139,2.0,14.19388248,0.06875885127054635,14.14526263,14.169572555,14.19388248,14.218192405,14.24250233,2.0,49.0,0.0,49.0,49.0,49.0,49.0,49.0
LaserJet 500 colorMFP M570dn,1.0,61.0,,61.0,61.0,61.0,61.0,61.0,1.0,2299.0,,2299.0,2299.0,2299.0,2299.0,2299.0,1.0,1418.0,,1418.0,1418.0,1418.0,1418.0,1418.0,1.0,881.0,,881.0,881.0,881.0,881.0,881.0,1.0,0.0095,,0.0095,0.0095,0.0095,0.0095,0.0095,1.0,0.013999999999999999,,0.013999999999999999,0.013999999999999999,0.013999999999999999,0.013999999999999999,0.013999999999999999,1.0,13.470999999999998,,13.470999999999998,13.470999999999998,13.470999999999998,13.470999999999998,13.470999999999998,1.0,0.449903285,,0.449903285,0.449903285,0.449903285,0.449903285,0.449903285,1.0,12.334000000000001,,12.334000000000001,12.334000000000001,12.334000000000001,12.334000000000001,12.334000000000001,1.0,0.41193431700000005,,0.41193431700000005,0.41193431700000005,0.41193431700000005,0.41193431700000005,0.41193431700000005,1.0,13.470999999999998,,13.470999999999998,13.470999999999998,13.470999999999998,13.470999999999998,13.470999999999998,1.0,0.449903285,,0.449903285,0.449903285,0.449903285,0.449903285,0.449903285,1.0,22.0,,22.0,22.0,22.0,22.0,22.0
LaserJet 600 M602,1.0,62.0,,62.0,62.0,62.0,62.0,62.0,1.0,241841.0,,241841.0,241841.0,241841.0,241841.0,241841.0,1.0,241841.0,,241841.0,241841.0,241841.0,241841.0,241841.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.01,,0.01,0.01,0.01,0.01,0.01,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,2418.41,,2418.41,2418.41,2418.41,2418.41,2418.41,1.0,6.604658105,,6.604658105,6.604658105,6.604658105,6.604658105,6.604658105,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,2418.41,,2418.41,2418.41,2418.41,2418.41,2418.41,1.0,6.604658105,,6.604658105,6.604658105,6.604658105,6.604658105,6.604658105,1.0,49.0,,49.0,49.0,49.0,49.0,49.0
LaserJet M402dn,17.0,71.0,5.049752469181039,63.0,67.0,71.0,75.0,79.0,17.0,22045.647058823528,38668.04518097142,2.0,819.0,4213.0,20287.0,136189.0,17.0,22045.647058823528,38668.04518097142,2.0,819.0,4213.0,20287.0,136189.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0192,0.0,0.0192,0.0192,0.0192,0.0192,0.0192,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,423.2764235294118,742.4264674746513,0.0384,15.7248,80.8896,389.5104,2614.8288,17.0,2.6678573058235293,4.25573036237063,0.013549676,0.19557817800000002,0.952340889,2.9368955160000003,16.65428342,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,423.2764235294118,742.4264674746513,0.0384,15.7248,80.8896,389.5104,2614.8288,17.0,2.6678573058235293,4.25573036237063,0.013549676,0.19557817800000002,0.952340889,2.9368955160000003,16.65428342,17.0,42.529411764705884,13.416955909682082,18.0,42.0,49.0,52.0,55.0
LaserJet M402dw,3.0,81.0,1.0,80.0,80.5,81.0,81.5,82.0,3.0,5853.666666666667,4729.708694341897,461.0,4131.5,7802.0,8550.0,9298.0,3.0,5853.666666666667,4729.708694341897,461.0,4131.5,7802.0,8550.0,9298.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0192,0.0,0.0192,0.0192,0.0192,0.0192,0.0192,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,112.3904,90.81040693136443,8.8512,79.3248,149.7984,164.16,178.5216,3.0,0.39617440333333337,0.2991112651968574,0.05759993099999999,0.28197979549999996,0.50635966,0.5654616395000001,0.624563619,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,112.3904,90.81040693136443,8.8512,79.3248,149.7984,164.16,178.5216,3.0,0.39617440333333337,0.2991112651968574,0.05759993099999999,0.28197979549999996,0.50635966,0.5654616395000001,0.624563619,3.0,51.666666666666664,4.618802153517007,49.0,49.0,49.0,53.0,57.0
LaserJet M604,1.0,83.0,,83.0,83.0,83.0,83.0,83.0,1.0,94641.0,,94641.0,94641.0,94641.0,94641.0,94641.0,1.0,94641.0,,94641.0,94641.0,94641.0,94641.0,94641.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.012,,0.012,0.012,0.012,0.012,0.012,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1135.692,,1135.692,1135.692,1135.692,1135.692,1135.692,1.0,3.101565645,,3.101565645,3.101565645,3.101565645,3.101565645,3.101565645,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1135.692,,1135.692,1135.692,1135.692,1135.692,1135.692,1.0,3.101565645,,3.101565645,3.101565645,3.101565645,3.101565645,3.101565645,1.0,49.0,,49.0,49.0,49.0,49.0,49.0
LaserJet MFP M426fdn,9.0,88.0,2.7386127875258306,84.0,86.0,88.0,90.0,92.0,9.0,37928.555555555555,30646.37669085495,3770.0,16812.0,27259.0,53632.0,91755.0,9.0,37928.555555555555,30646.37669085495,3770.0,16812.0,27259.0,53632.0,91755.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0192,0.0,0.0192,0.0192,0.0192,0.0192,0.0192,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,728.2282666666666,588.4104324644151,72.384,322.7904,523.3728,1029.7344,1761.6960000000001,9.0,4.982941746666667,5.961020444049118,0.19777010399999997,1.197217325,2.816042216,4.8089899769999995,18.91337169,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,728.2282666666666,588.4104324644151,72.384,322.7904,523.3728,1029.7344,1761.6960000000001,9.0,4.982941746666667,5.961020444049118,0.19777010399999997,1.197217325,2.816042216,4.8089899769999995,18.91337169,9.0,49.77777777777778,11.05415959919362,22.0,49.0,53.0,56.0,59.0
LaserJet MFP M426fdw,2.0,93.5,0.7071067811865476,93.0,93.25,93.5,93.75,94.0,2.0,40085.0,55366.46096690667,935.0,20510.0,40085.0,59660.0,79235.0,2.0,40085.0,55366.46096690667,935.0,20510.0,40085.0,59660.0,79235.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0192,0.0,0.0192,0.0192,0.0192,0.0192,0.0192,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,769.6320000000001,1063.036050564608,17.952,393.79200000000003,769.6320000000001,1145.4720000000002,1521.3120000000001,2.0,2.1018699114999997,2.9031270553724595,0.04904908400000001,1.0754594977499998,2.1018699114999997,3.1282803252499995,4.154690738999999,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,769.6320000000001,1063.036050564608,17.952,393.79200000000003,769.6320000000001,1145.4720000000002,1521.3120000000001,2.0,2.1018699114999997,2.9031270553724595,0.04904908400000001,1.0754594977499998,2.1018699114999997,3.1282803252499995,4.154690738999999,2.0,52.0,4.242640687119285,49.0,50.5,52.0,53.5,55.0
