,ID?,Total Pages,Total Pages Mono,Total Pages Color,CPP BW,CPP Color,Total Cost Mono,TCM/Day,Total Cost Color,TCC/Day,Total Cost,Total Cost / Day,Location IP
count,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0
mean,67.5,120492.27611940299,114789.71641791044,5702.559701492537,0.014767910447761195,0.011546268656716418,1171.0736686567166,7.538050341365673,412.1082059701493,1.2332142807611939,1582.1914268656717,8.73818537588806,48.19402985074627
std,38.82653731663435,219852.35805111908,214563.8875765189,32164.035691008983,0.004961636292463104,0.03214956741887072,1598.1339228800998,25.850543701051592,1977.297272491234,5.4524113863291594,2670.5769098087976,26.31212062140817,10.833308155549124
min,1.0,2.0,2.0,0.0,0.0058,0.0,0.0384,0.0027048640000000004,0.0,0.0,0.0384,0.007383103,16.0
25%,34.25,11419.25,9550.75,0.0,0.01,0.0,158.14425,0.52684714375,0.0,0.0,180.33847500000002,0.605742735,47.0
50%,67.5,37580.0,33982.0,0.0,0.0153,0.0,534.3392,2.426756225,0.0,0.0,664.44075,2.9885536225,49.0
75%,100.75,128362.0,117593.75,0.0,0.0192,0.0,1609.119525,6.207310359749999,0.0,0.0,1864.0035,7.10473610675,55.0
max,134.0,1537461.0,1537461.0,312022.0,0.0258,0.1362,10608.4809,280.37130210000004,17941.265,48.97517141,20904.389,280.37130210000004,59.0
