,Total Pages,Total Pages Mono,Total Pages Color,CPP BW,CPP Color,Total Cost Mono,TCM/Day,Total Cost Color,TCC/Day,Total Cost,Total Cost / Day,Location IP
count,136.0,134.0,94.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0
mean,118721.45588235294,114789.71641791044,8129.18085106383,0.014767910447761193,0.01133731343283582,1171.0736686567166,7.538050341365672,411.11775820895525,1.2001350346268655,1582.1914268656717,8.73818537588806,48.19402985074627
std,218702.17103428388,214563.8875765189,38203.975045379986,0.004961636292463104,0.03217864063363834,1598.1339228800996,25.850543701051592,1977.4771514491974,5.448583712944343,2670.576909808798,26.31212062140817,10.833308155549124
min,2.0,2.0,0.0,0.0058,0.0,0.0384,0.0027048640000000004,0.0,0.0,0.0384,0.007383103,16.0
25%,10876.0,9550.75,0.0,0.01,0.0,158.14425,0.52684714375,0.0,0.0,180.33847500000002,0.605742735,47.0
50%,37109.0,33982.0,0.0,0.0153,0.0,534.3392,2.426756225,0.0,0.0,664.44075,2.9885536225,49.0
75%,121856.0,117593.75,0.0,0.0192,0.0,1609.119525,6.207310359749999,0.0,0.0,1864.0035,7.10473610675,55.0
max,1537461.0,1537461.0,312022.0,0.0258,0.1362,10608.4809,280.37130210000004,17941.265,48.97517141,20904.389,280.37130210000004,59.0
