Is Managed,Manufacturer,Model,CPP BW,Serial Number,IP Address,Mac Address,Firmware Version 1,First Audit Date,Last Audit Date,Total Pages,Total Pages Mono,Total Pages Color,Total Cost Mono,TCM/Day
TRUE,HP,LaserJet 4350,0.0095,CNBXC33078,10.157.49.98,00-12-79-7F-43-3B,08.230.1,10/9/2018 9:17:37 AM,10/10/2019 1:18:34 PM,545214,545214,,5179.533,14.14526263
FALSE,HP,LaserJet 4350,0.0095,CNGXD90493,10.157.49.92,00-14-38-DB-23-F0,08.009.3,10/9/2018 9:17:37 AM,10/10/2019 1:18:34 PM,548962,548962,,5215.139,14.24250233
TRUE,HP,LaserJet 500 colorMFP M570dn,0.0095,CNCKM4LBGT,10.157.22.52,C4-65-16-42-72-50,leslelx8:/work/jenkins/gitbuilder/workspace/phx,9/10/2019 2:42:06 PM,10/10/2019 1:18:34 PM,2299,1418,881,13.471,0.449903285
TRUE,HP,LaserJet 600 M602,0.01,CNDCH3J0Z4,10.157.49.54,50-65-F3-5B-14-63,2308974_579777,10/9/2018 9:17:37 AM,10/10/2019 1:18:34 PM,241841,241841,,2418.41,6.604658105
FALSE,HP,LaserJet 9050,0.01,JPDL68N01Q,10.157.59.59,00-14-38-DB-D0-01,08.106.1,,,,,,,
TRUE,HP,LaserJet 9050,0.01,JPDL68N01T,10.157.59.60,00-14-38-DB-D9-74,08.106.1,,,,,,,
TRUE,HP,LaserJet 9050,0.01,JPFL6CN03H,10.157.49.104,00-17-08-8D-E4-25,08.107.1,,,,,,,
TRUE,HP,LaserJet M402dn,0.0192,PHB5B65413,10.157.55.50,10-62-E5-63-52-A0,leslelx21:/work/jenkins/gitbuilder/workspace/ph,11/8/2018 1:17:34 PM,10/10/2019 1:18:34 PM,16666,16666,0,319.9872,0.952340889
TRUE,HP,LaserJet M402dn,0.0192,PHB5B90753,10.157.22.50,B0-0C-D1-21-23-CB,leslelx54:/work/jenkins/gitbuilder3/workspace/p,9/10/2019 2:42:06 PM,10/10/2019 1:18:34 PM,305,305,0,5.856,0.195578178
FALSE,HP,LaserJet M402dn,0.0192,PHB5C25307,10.157.49.103,F4-30-B9-29-CC-3C,leslelx4:/var/lib/jenkins/jobs/gitbuilder/works,10/9/2018 9:17:37 AM,10/10/2019 1:18:34 PM,136189,136189,0,2614.8288,7.141076255
FALSE,HP,LaserJet M402dn,0.0192,PHB5C25980,10.157.44.54,F4-30-B9-6F-E0-71,leslelx4:/var/lib/jenkins/jobs/gitbuilder/works,10/9/2018 1:17:32 PM,10/10/2019 1:18:34 PM,2580,2580,0,49.536,0.135343997
FALSE,HP,LaserJet M402dn,0.0192,PHB5C33581,10.157.18.51,F4-30-B9-F4-AC-D5,leslelx4:/var/lib/jenkins/jobs/gitbuilder/works,9/10/2019 2:42:06 PM,10/10/2019 1:18:34 PM,342,342,0,6.5664,0.219304056
FALSE,HP,LaserJet M402dn,0.0192,PHB5C33590,10.157.52.50,F4-30-B9-F4-CC-83,leslelx4:/var/lib/jenkins/jobs/gitbuilder/works,3/27/2019 9:17:43 PM,10/10/2019 1:18:34 PM,240,240,0,4.608,0.023430438
FALSE,HP,LaserJet M402dn,0.0192,PHB5F21218,10.157.54.50,F4-30-B9-6F-60-7C,leslelx4:/var/lib/jenkins/jobs/gitbuilder/works,9/10/2019 2:42:06 PM,10/10/2019 1:18:34 PM,1821,1821,0,34.9632,1.16769791
FALSE,HP,LaserJet M402dn,0.0192,PHB5F25608,10.157.49.101,48-BA-4E-DA-1C-F6,leslelx4:/var/lib/jenkins/jobs/gitbuilder/works,10/9/2018 1:17:32 PM,10/10/2019 1:18:34 PM,98874,98874,0,1898.3808,5.186822617
FALSE,HP,LaserJet M402dn,0.0192,PHB5F25802,10.157.54.57,48-BA-4E-DA-71-C9,leslelx4:/var/lib/jenkins/jobs/gitbuilder/works,9/10/2019 2:42:06 PM,10/10/2019 1:18:34 PM,9314,9314,0,178.8288,5.972508693
FALSE,HP,LaserJet M402dn,0.0192,PHB5F25804,10.157.44.58,48-BA-4E-DA-71-D6,leslelx4:/var/lib/jenkins/jobs/gitbuilder/works,10/9/2018 1:17:32 PM,10/10/2019 1:18:34 PM,20287,20287,0,389.5104,1.064233979
FALSE,HP,LaserJet M402dn,0.0192,PHB5F25807,10.157.54.58,48-BA-4E-DA-91-DD,leslelx4:/var/lib/jenkins/jobs/gitbuilder/works,9/10/2019 2:42:06 PM,10/10/2019 1:18:34 PM,25972,25972,0,498.6624,16.65428342
FALSE,HP,LaserJet M402dn,0.0192,PHB5F31049,10.157.42.52,AC-E2-D3-D8-41-5D,leslelx21:/work/jenkins/gitbuilder/workspace/ph,10/9/2018 1:17:32 PM,10/10/2019 1:18:34 PM,6639,6639,0,127.4688,0.348274727
FALSE,HP,LaserJet M402dn,0.0192,PHB5F35303,10.157.49.36,80-CE-62-E6-11-9B,leslelx21:/work/jenkins/gitbuilder/workspace/ph,10/9/2018 1:17:32 PM,10/10/2019 1:18:34 PM,2202,2202,0,42.2784,0.115514528
FALSE,HP,LaserJet M402dn,0.0192,PHB5G00715,10.157.49.86,98-E7-F4-A5-AC-B0,leslelx13:/var/lib/jenkins/jobs/gitbuilder3/wor,11/28/2018 5:17:44 PM,10/10/2019 1:18:34 PM,48311,48311,0,927.5712,2.936895516
FALSE,HP,LaserJet M402dn,0.0192,PHB5H17711,10.157.20.52,48-BA-4E-DA-76-C8,leslelx4:/var/lib/jenkins/jobs/gitbuilder/works,9/10/2019 2:42:06 PM,10/10/2019 1:18:34 PM,819,819,0,15.7248,0.525175501
FALSE,HP,LaserJet M402dn,0.0192,PHB5H17720,10.157.20.51,48-BA-4E-DA-10-F3,leslelx4:/var/lib/jenkins/jobs/gitbuilder/works,9/10/2019 2:42:06 PM,10/10/2019 1:18:34 PM,4213,4213,0,80.8896,2.701543819
