Manufacturer,CPP BW,Total Pages,Total Pages Mono,Total Pages Color,Total Cost Mono,TCM/Day
HP,0.01678018018018021,61936.17821782178,59856.71287128713,2307.978021978022,873.423314851485,7.145914553801981
SHARP,0.008154054054054059,308571.6875,291255.53125,184705.66666666666,2144.20744375,9.00331883075
SOURCE,0.0058,16117.0,16117.0,,93.4786,0.255173225
